2.83216,0
2.83239,0
2.85253,0
2.87261,0
2.89276,38.4375
2.91292,30.9375
2.93303,44.4141
2.9532,50.625
2.97331,64.8047
2.99341,76.9922
3.01354,78.0469
3.03362,93.5156
3.05372,96.7969
3.07386,99.8438
3.09411,114.609
3.1142,126.094
3.13433,131.016
3.15443,149.414
3.17451,150.469
3.19467,168.75
3.21482,170.391
3.2349,209.531
3.25506,214.219
3.27517,200.508
3.29532,214.57
3.31541,232.148
3.33552,241.875
3.35563,247.734
3.37578,253.008
3.39591,255.234
3.41606,274.922
3.43618,311.836
3.45634,308.672
3.47641,326.367
3.49652,320.742
3.51669,328.477
3.53671,320.742
3.5569,365.859
3.577,354.727
3.59717,373.008
3.61732,380.859
3.6374,404.297
3.65754,408.281
3.67761,413.906
3.69774,425.625
3.71782,454.922
3.73795,459.141
3.7581,453.633
3.77828,461.719
3.79833,470.273
3.81841,468.633
3.83851,487.969
3.85867,489.141
3.87882,514.453
3.89888,533.906
3.91903,549.844
3.9392,543.164
3.95924,561.68
3.97932,552.539
3.99941,565.312
4.01949,575.742
4.03963,584.062
4.05976,602.578
4.07984,612.773
4.09995,634.453
4.12004,647.461
4.14019,646.875
4.16032,653.203
4.18039,655.43
4.20057,672.539
4.22074,688.945
4.24089,699.492
4.26103,721.875
4.2812,722.344
4.3013,711.094
4.3214,721.523
4.34154,747.773
4.36165,764.648
4.3818,764.531
4.40193,774.844
4.42201,780.234
4.44217,790.898
4.46233,806.602
4.48242,811.055
4.5025,821.602
4.52261,843.984
4.5427,845.039
4.56286,856.289
4.58301,860.859
4.60319,881.719
4.6233,881.602
4.64339,911.602
4.6635,904.805
4.6836,905.508
4.70379,928.477
4.72393,932.461
4.74403,947.93
4.76421,974.648
4.78436,957.07
4.80453,969.258
4.82467,1003.24
4.84475,989.883
4.86485,1011.45
4.88501,1038.05
4.90516,1022.58
4.92528,1051.52
4.94535,1056.68
4.96545,1049.65
4.98558,1094.65
5.00571,1082.46
5.02585,1093.59
5.046,1106.13
5.06617,1126.52
5.08631,1126.41
5.1064,1130.51
5.1265,1149.49
5.14664,1151.95
5.16675,1160.51
5.18682,1161.91
5.20696,1184.65
5.22711,1218.87
5.24729,1200.82
5.26741,1204.57
5.2875,1225.43
5.30758,1234.8
5.32774,1256.02
5.34788,1260.82
5.36802,1268.79
5.3882,1275.7
5.40833,1270.08
5.42842,1285.31
5.44855,1323.16
5.46863,1327.03
5.48876,1332.54
5.50889,1331.84
5.52903,1342.15
5.54921,1344.96
5.56924,1340.51
5.58933,1359.49
5.60942,1387.38
5.62951,1389.96
5.64964,1427.7
5.66979,1424.53
5.68996,1429.1
5.71011,1429.1
5.73026,1450.66
5.75036,1467.42
5.77045,1449.14
